Location_Name,Latitude,Longitude,Financial_Institution_Type,Address,City_ST_Zip,State,District,Party,Party_Color,Outline_Color,Website,Phone,Background_Color,Text_Color
"Jamestown S'Klallam Tribal Capital, Incorporated",48.08016583,-123.1025299,Loan Fund,123 N. Sequim Ave.,"Sequim, WA 98382",WA,WA06,D,#00aef3,#000,https://jamestowncapital.org/,360-460-6890,#124736,#a03526
Kaua‘i Federal Credit Union,21.97331508,-159.3671418,Credit Union,2976 Ewalu St,"Lihue, HI 96766",HI,HI02,D,#00aef3,#000,https://kauaicreditunion.org/,808-245-2463,#CBD5E9,#000
Lake Superior Community Development Corp.,46.75830869,-88.45544532,Loan Fund,1 N Front St,"L'Anse, MI 49946",MI,MI01,R,#e81b23,#000,https://www.facebook.com/LakeSuperiorCDC/,906-524-5445,#FFF,#000
Lakota Federal Credit Union,43.42487155,-102.1716195,Credit Union,"Lakota Trade Center, Ste 103/104 BIA 2","Kyle, SD 57752",SD,SD00,R,#e81b23,#000,https://lakotafcu.org/,605-455-1515,#84acab,#572107
Lakota Funds,43.42498074,-102.1762674,Loan Fund,"Lakota Trade Center, BIA 2","Kyle, SD 57752--034",SD,SD00,R,#e81b23,#000,https://lakotafunds.org/,605-455-2500,#02334c,#FFF
Lei Ho'olaha,20.01590786,-155.6533033,Loan Fund,64-1043 Hi'iaka St,"Waimea, HI 96743",HI,HI02,D,#00aef3,#000,https://leihoolaha.org/,808-345-6922,#FFF,#2F6E36
Local Bank,35.93260985,-95.14364743,Bank,110 E Main,"Hulbert, OK 74441",OK,OK02,R,#e81b23,#000,https://www.bankofcherokeecounty.net/,918-772-2572,#337d58,#FFF
"Lower Brule Community Development Enterprise, LLC",44.07925654,-99.60673486,Loan Fund,187 Oyate Cir,"Lower Brule, SD 57548",SD,SD00,R,#e81b23,#000,https://www.lowerbrulesiouxtribe.com/,605-473-5561,#D6D6D6,#F71659
Mazaska Owecaso Otipi Financial,43.02456651,-102.5582087,Loan Fund,108 Oglala St,"Pine Ridge, SD 57770",SD,SD00,R,#e81b23,#000,https://www.mazaskacdfi.org/,605-867-1018,#b3161a,#FFF
Mni Sota Fund,44.9481263,-93.21478319,Loan Fund,4009 E Lake St,"Minneapolis, MN 55406",MN,MN05,D,#00aef3,#000,https://mnisotafund.org/,612-225-0480,#ee3f2d,#FFF
Molokai Community Federal Credit Union,21.09129623,-157.0194967,Credit Union,135 Puali Place,"Kaunakakai, HI 96748",HI,HI02,D,#00aef3,#000,https://www.molokaicommunityfcu.com/,808-553-5328,#f04a47,#FFF
Mvskoke Fund,35.60794767,-95.96058776,Loan Fund,1523 S Wood Dr,"Okmulgee, OK 74447",OK,OK02,R,#e81b23,#000,https://mvskokefund.com/,918-549-2603,#227a40,#FFF
"NACDC Financial Services, Inc.",48.55729406,-113.0136226,Loan Fund,201 N Piegan St,"Browning, MT 59417",MT,MT01,R,#e81b23,#000,https://www.nacdcfinancialservices.com/index.html,406-338-2992,#EB0303,#FFF
"Native American Bank, N.A.",39.71969257,-104.9877394,Bank,201 N Broadway,"Denver, CO 80203",CO,CO01,D,#00aef3,#000,https://nativeamericanbank.com/,800-368-8894,#732d26,#FFF
Native American Development Corporation,45.78311412,-108.5024449,Loan Fund,17 N 26th St,"Billings, MT 59101",MT,MT02,R,#e81b23,#000,http://www.nadc-nabn.org/,406-259-3804,#2c5c6b,#FFF
Native Community Capital,33.37790108,-111.896459,Loan Fund,"2111 E Baseline Rd, Ste C2","Tempe, AZ 85283",AZ,AZ04,D,#00aef3,#000,https://nativecap.org/,855-628-2272,#499ebf,#FFF
Native Partnership for Housing,35.511922,-108.7392706,Loan Fund,1664 S 2nd St,"Gallup, NM 87301",NM,NM03,D,#00aef3,#000,https://nativepfh.org/,505-722-0551,#223e7d,#FFF
Native360 Loan Fund,40.94757761,-98.38518927,Loan Fund,"2550 N Diers Ave, Ste K","Grand Island, NE 68803",NE,NE03,R,#e81b23,#000,https://native360.org/,308-850-0303,#be1d2d,#FFF
Navajo CDFI,35.6709362,-109.0617383,Loan Fund,PO Box 4919,"Window Rock, AZ 85515",AZ,AZ02,R,#e81b23,#000,https://www.navajocdfi.com/,800-889-6940,#691525,#FFF
NeighborWorks Montana,47.50446539,-111.298763,Loan Fund,17 5th St S,"Great Falls, MT 59401",MT,MT02,R,#e81b23,#000,https://www.nwmt.org/,406-604-4540,#000,#FFF
Nimiipuu Fund,46.40020266,-116.80376,Loan Fund,95 Agency Rd,"Lapwai, ID 83540",ID,ID01,R,#e81b23,#000,https://nimiipuufund.org/,208-621-3729,#00abb7,#FFF
Nixyaawii Community Financial Services,45.64503416,-118.6847088,Loan Fund,46440 Kusi Rd. #A-3,"Pendleton, OR 97801",OR,OR02,R,#e81b23,#000,https://www.nixyaawii-cdfi.org/,541-304-2387,#db8eaa,#40adce
"Northern Shores Community Development, Inc.",45.42827929,-84.89105922,Loan Fund,1131 W Conway Rd  Ste A,"Harbor Springs, MI 49740",MI,MI01,R,#e81b23,#000,https://nscdi.org/,231-347-6753,#29aae1,#000
Northwest Native Development Fund,47.96647201,-118.9766203,Loan Fund,504 Fir St,"Coulee Dam, WA 99116",WA,WA04,R,#e81b23,#000,https://thenndf.org/,509-633-9940,#910807,#FFF
Oweesta Corporation,40.20254856,-105.1018856,Loan Fund,2432 Main St,"Longmont, CO 80501",CO,CO02,D,#00aef3,#000,https://www.oweesta.org/,303-774-8838,#3b4d7e,#FFF
Pacific Northwest Tribal Lending,48.75412369,-122.4959684,Loan Fund,12 Bellwether Way Ste 224,"Bellingham, WA 98225",WA,WA02,D,#00aef3,#000,https://www.lummicdfi.org/,360-594-6004,#8B0000,#FFF
Salt River Financial Services Institution,33.48701496,-111.86473,Loan Fund,10005 E Osborn Rd,"Scottsdale, AZ 85256",AZ,AZ01,R,#e81b23,#000,https://srfsi.com/,480-362-7600,#a46c4e,#FFF
San Carlos Relending Program ,32.89588748,-109.8232504,Loan Fund,170 US-70 #110,"Pima, AZ 85543",AZ,AZ06,R,#e81b23,#000,https://www.facebook.com/profile.php?id=100057273287633&sk=about,928-475-4404,#FFF,#000
Seneca Nation of Indians Economic Development Company,42.15642865,-78.75381663,Loan Fund,90 Ohi:yo Way,"Salamanca, NY 14779",NY,NY23,R,#e81b23,#000,https://www.sniedc.org/,716-945-7148,#3b1139,#FFF
Sisseton-Wahpeton Federal Credit Union,45.5677001,-97.06969194,Credit Union,45665 Veterans Memorial Dr,"Agency Village, SD 57262",SD,SD00,R,#e81b23,#000,https://sisseton-wahpetonfcu.com/,605-698-3462,#9F2A32,#FFF
Spruce Root,58.29980184,-134.4070931,Loan Fund,"One Sealaska Plaza, 2nd Floor","Juneau, AK 99801",AK,AK00,R,#e81b23,#000,https://www.spruceroot.org/,907-586-9251,#D0DEBC,#006853
Taala Fund,47.20977496,-124.1985914,Loan Fund,4471 WA-109,"Pacific Beach, WA 98571",WA,WA06,D,#00aef3,#000,https://www.taalafund.org/,360-276 0208,#01568d,#FFF
"The Cherokee Nation d/b/a Cherokee Nation Economic Development Trust Authority, Inc",35.85220105,-94.9913742,Loan Fund,17675 S Muskogee Ave,"Tahlequah, OK 74464",OK,OK02,R,#e81b23,#000,https://www.cherokee.org/all-services/commerce-services/loan-programs/,918-453-5536,#FFF,#99383b
The Sequoyah Fund Inc.,35.48726254,-83.31320059,Loan Fund,810 Acquoni Rd #500,"Cherokee, NC 28719",NC,NC11,R,#e81b23,#000,https://sequoyahfund.org/,828-359-5001,#C13131,#FFF
Tigua Community Development Corporation,31.68383147,-106.323408,Loan Fund,332 Alton Griffin St,"El Paso, TX 79907",TX,TX16,D,#00aef3,#000,https://www.ysletadelsurpueblo.org/tribal-services/department-of-economic-development/financial-support-division,915-859-9196,#FFF,#0f5e72
Tiwa Lending Services,35.14101971,-106.6633488,Loan Fund,1776 Montaño Rd NW,"Los Ranchos De Albuquerque, NM 87107",NM,NM01,D,#00aef3,#000,https://www.tiwalending.org/,505-916-0556    ,#541352,#FFF
"Westwater Financial, Inc.",38.52491059, -122.79561790,Loan Fund,930 Shiloh Road Bldg 40 Ste F,"Windsor, CA 95492",CA,CA02,D,#00aef3,#000,https://westwaterfinancial.org/,707-419-3070,#c7b99f,#060606
White Earth Investment Initiative,47.10302912,-95.92591957,Loan Fund,407 Main St,"Ogema, MN 56569",MN,MN08,R,#e81b23,#000,https://www.weii.website/,218-983-4020,#004a80,#ffe5c1
Wind River Development Fund,42.99131711,-108.8713612,Loan Fund,3 Ethete Road,"Fort Washakie, WY 82514",WY,WY00,R,#e81b23,#000,https://wrdf.org/,307-335-7330,#FFF,#000
"Wisconsin Native Loan Fund, Inc.",45.91484974,-89.91416055,Loan Fund,14284 St Hwy 70 W,"Lac du Flambeau, WI 54538",WI,WI07,R,#e81b23,#000,https://www.winlf.org/,715-588-1600 ,#522D8C,#FFF
Woodland Financial Partners,44.87423746,-88.62370835,Loan Fund,N559 Library Rd ,"Keshena, WI 54135",WI,WI08,R,#e81b23,#000,https://woodlandfinancial.org/,715-799-4806,#44693d,#FFF
